dataset,n-k,voting,distance,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
iris,1,uniform,1,2,0.9333333333333332,0.9339103913527511,0.9333333333333333,0.9332937260598125
iris,1,uniform,1,3,0.9298000000000002,0.930016634212574,0.9298,0.9297850244206521
iris,1,uniform,1,4,0.9291333333333331,0.9293342065601626,0.9291333333333334,0.9291197874157875
iris,1,uniform,1,5,0.9312666666666667,0.9314229108294031,0.9312666666666667,0.931256669996299
iris,1,uniform,1,6,0.9323999999999999,0.9325498806549969,0.9324000000000001,0.9323907433714074
iris,1,uniform,1,7,0.9311333333333333,0.9312873052418119,0.9311333333333335,0.9311234437887405
iris,1,uniform,1,8,0.9289333333333333,0.9290826043237811,0.9289333333333335,0.9289232774898137
iris,1,uniform,1,9,0.9285999999999999,0.928718257559434,0.9286000000000001,0.9285918716561533
iris,1,uniform,2,2,0.9401999999999998,0.9410780283954591,0.9402,0.9402713868033163
iris,1,uniform,2,3,0.9401333333333334,0.9406431983547747,0.9401333333333333,0.9401976938085473
iris,1,uniform,2,4,0.9436,0.9439282836695851,0.9436,0.9436647250465126
iris,1,uniform,2,5,0.9438000000000001,0.9439877700162403,0.9438000000000002,0.9438413112417599
iris,1,uniform,2,6,0.9446666666666669,0.9448267913749203,0.9446666666666665,0.9446944872241602
iris,1,uniform,2,7,0.9447999999999999,0.9449495547539133,0.9448000000000002,0.9448277317444989
iris,1,uniform,2,8,0.9462,0.9462794543458409,0.9462,0.946210890812971
iris,1,uniform,2,9,0.9453333333333336,0.9454350718903913,0.9453333333333334,0.9453584756837746
iris,1,distance,1,2,0.9341333333333333,0.9345685583848721,0.9341333333333334,0.9341015846250028
iris,1,distance,1,3,0.9325333333333333,0.9327907123359926,0.9325333333333333,0.9325161321582087
iris,1,distance,1,4,0.9312,0.9313937151597402,0.9312,0.9311870076792543
iris,1,distance,1,5,0.9298666666666666,0.9300259358855792,0.9298666666666668,0.9298564231608912
iris,1,distance,1,6,0.9301999999999999,0.9303920071734342,0.9302000000000002,0.9301875744182649
iris,1,distance,1,7,0.9291999999999997,0.929354465559706,0.9291999999999999,0.9291898897285241
iris,1,distance,1,8,0.9302666666666666,0.9304083187723412,0.9302666666666668,0.9302573707708265
iris,1,distance,1,9,0.9291999999999999,0.929313686500241,0.9291999999999999,0.9291923985996039
iris,1,distance,2,2,0.9367333333333333,0.9375955207820613,0.9367333333333333,0.9367997924694604
iris,1,distance,2,3,0.9411999999999999,0.9415598241719084,0.9412,0.9412572754806647
iris,1,distance,2,4,0.9414000000000001,0.9416733117575152,0.9414,0.941445087804455
iris,1,distance,2,5,0.9439333333333334,0.9441296544390767,0.9439333333333332,0.9439725200159923
iris,1,distance,2,6,0.9438,0.9439613763454099,0.9438,0.9438337079086061
iris,1,distance,2,7,0.9450000000000002,0.9451390953817426,0.945,0.9450344230901683
iris,1,distance,2,8,0.9454666666666668,0.9455790675244456,0.9454666666666666,0.9454987929365166
iris,1,distance,2,9,0.9450666666666667,0.9451750164758512,0.9450666666666666,0.945090568936483
iris,1,sqrt-order,1,2,0.9318,0.9322270916852242,0.9317999999999999,0.9317699027363741
iris,1,sqrt-order,1,3,0.9322666666666665,0.9324949375306458,0.9322666666666667,0.9322515762353972
iris,1,sqrt-order,1,4,0.9327999999999999,0.9329589266289434,0.9328000000000001,0.9327896622704437
iris,1,sqrt-order,1,5,0.9301333333333333,0.9302850897335511,0.9301333333333334,0.9301225277037781
iris,1,sqrt-order,1,6,0.9285333333333331,0.9286893483034241,0.9285333333333335,0.9285229571856746
iris,1,sqrt-order,1,7,0.9303999999999999,0.9305201886515859,0.9304,0.9303920111736901
iris,1,sqrt-order,1,8,0.9294666666666666,0.9295967676814316,0.9294666666666668,0.929457824501938
iris,1,sqrt-order,1,9,0.9285333333333331,0.9286551879726249,0.9285333333333335,0.9285251051075496
iris,1,sqrt-order,2,2,0.9383333333333335,0.9391045743547569,0.9383333333333334,0.9384126976960728
iris,1,sqrt-order,2,3,0.9414,0.9417885042984655,0.9414,0.9414710651729981
iris,1,sqrt-order,2,4,0.9442666666666666,0.9445141108105664,0.9442666666666666,0.9443133844263061
iris,1,sqrt-order,2,5,0.9439333333333334,0.9441257771468531,0.9439333333333335,0.9439782102942903
iris,1,sqrt-order,2,6,0.9444000000000001,0.9445812919168636,0.9444000000000001,0.9444477211829546
iris,1,sqrt-order,2,7,0.9450666666666669,0.9451730581976381,0.9450666666666666,0.9450916043104911
iris,1,sqrt-order,2,8,0.9448666666666667,0.9449979259636618,0.9448666666666667,0.9448991375964003
iris,1,sqrt-order,2,9,0.9457333333333335,0.9458183541380195,0.9457333333333334,0.9457378927804901
iris,2,uniform,1,2,0.9260666666666667,0.930238346171706,0.9260666666666666,0.9257453991524877
iris,2,uniform,1,3,0.9252666666666667,0.9285681885655935,0.9252666666666668,0.9250117710544207
iris,2,uniform,1,4,0.9295333333333333,0.9319964644558555,0.9295333333333332,0.9293579238873249
iris,2,uniform,1,5,0.9298000000000001,0.9321338194128366,0.9297999999999998,0.9296368972260156
iris,2,uniform,1,6,0.9297999999999997,0.9320318325667343,0.9298,0.9296439031646382
iris,2,uniform,1,7,0.9317333333333333,0.9337058459808615,0.9317333333333333,0.9316010204827688
iris,2,uniform,1,8,0.9310666666666667,0.9330178857614128,0.9310666666666666,0.9309343484680656
iris,2,uniform,1,9,0.9324666666666667,0.934321038453214,0.9324666666666667,0.9323435172569865
iris,2,uniform,2,2,0.9246,0.9301815237784395,0.9246,0.9242240108942205
iris,2,uniform,2,3,0.9336666666666666,0.9368738441682319,0.9336666666666668,0.9335328526742931
iris,2,uniform,2,4,0.9364666666666669,0.9388473528122527,0.9364666666666667,0.9363852674176868
iris,2,uniform,2,5,0.9409333333333335,0.9426336818946754,0.9409333333333333,0.9409050904663254
iris,2,uniform,2,6,0.9428666666666665,0.9441874049473507,0.9428666666666667,0.9428344473085737
iris,2,uniform,2,7,0.9428666666666667,0.9442067211636489,0.9428666666666667,0.9428305432336771
iris,2,uniform,2,8,0.9454666666666667,0.9463856024771019,0.9454666666666666,0.9454533101311131
iris,2,uniform,2,9,0.9458666666666666,0.9467571552446528,0.9458666666666666,0.9458524666051009
iris,2,distance,1,2,0.9348666666666665,0.9351992235375781,0.9348666666666667,0.9348444497946654
iris,2,distance,1,3,0.9310666666666666,0.9313504776368471,0.9310666666666666,0.9310459472513719
iris,2,distance,1,4,0.9315999999999999,0.9318243017404982,0.9316000000000001,0.9315846178894024
iris,2,distance,1,5,0.931,0.9311574159103987,0.931,0.9309896298308498
iris,2,distance,1,6,0.9291999999999999,0.9293745607772801,0.9291999999999999,0.9291882355414968
iris,2,distance,1,7,0.9301999999999998,0.9303570313342892,0.9302000000000002,0.9301895366004546
iris,2,distance,1,8,0.9302666666666665,0.930393280132566,0.9302666666666668,0.9302582915994682
iris,2,distance,1,9,0.9295333333333329,0.9296478032238534,0.9295333333333334,0.9295255917268397
iris,2,distance,2,2,0.9371999999999998,0.9381182498416206,0.9372,0.9372997062038276
iris,2,distance,2,3,0.9402000000000001,0.940670138401651,0.9402,0.9402876877652259
iris,2,distance,2,4,0.9431333333333334,0.9434077459149902,0.9431333333333335,0.9431982014895027
iris,2,distance,2,5,0.9436,0.9438420876633006,0.9436000000000001,0.9436576674550582
iris,2,distance,2,6,0.9442666666666668,0.944437781196741,0.9442666666666668,0.944298438014373
iris,2,distance,2,7,0.9451333333333335,0.9452313231053675,0.9451333333333334,0.945154163059147
iris,2,distance,2,8,0.9460000000000001,0.9460911209766926,0.9459999999999998,0.9460168145148566
iris,2,distance,2,9,0.945,0.9451027231405383,0.945,0.9450303579377544
iris,2,sqrt-order,1,2,0.9321333333333334,0.9325839611803275,0.9321333333333333,0.9321018020486279
iris,2,sqrt-order,1,3,0.9324666666666667,0.9326888374112089,0.9324666666666667,0.932451744858755
iris,2,sqrt-order,1,4,0.9319333333333333,0.9321228216164925,0.9319333333333335,0.9319209330260226
iris,2,sqrt-order,1,5,0.9297333333333333,0.929918318536794,0.9297333333333335,0.9297208351319879
iris,2,sqrt-order,1,6,0.9308000000000001,0.9309264802599337,0.9308000000000001,0.9307915701846368
iris,2,sqrt-order,1,7,0.9295333333333332,0.9296844563466412,0.9295333333333334,0.9295234040731005
iris,2,sqrt-order,1,8,0.9300666666666665,0.9302067342321546,0.9300666666666666,0.930057310909162
iris,2,sqrt-order,1,9,0.9269999999999999,0.9271175690789137,0.927,0.9269916982254449
iris,2,sqrt-order,2,2,0.9382666666666666,0.9389671662137391,0.9382666666666667,0.9383503271320416
iris,2,sqrt-order,2,3,0.9419333333333334,0.9424007315526156,0.9419333333333333,0.9419999878911074
iris,2,sqrt-order,2,4,0.9444666666666666,0.9447380983955257,0.9444666666666668,0.9445219250909115
iris,2,sqrt-order,2,5,0.9440000000000002,0.9442849264889132,0.944,0.9440660922131864
iris,2,sqrt-order,2,6,0.9451333333333335,0.945280082545839,0.9451333333333334,0.9451613870470681
iris,2,sqrt-order,2,7,0.9458666666666669,0.9459593968356572,0.9458666666666666,0.9458768339979257
iris,2,sqrt-order,2,8,0.9457333333333335,0.9458432911626189,0.9457333333333334,0.9457588463128025
iris,2,sqrt-order,2,9,0.9454000000000002,0.9455269299979304,0.9454,0.945430217272243
iris,3,uniform,1,2,0.9458,0.9462007858439656,0.9458000000000001,0.9457795368068154
iris,3,uniform,1,3,0.9483333333333333,0.9486080641840705,0.9483333333333335,0.9483201716042124
iris,3,uniform,1,4,0.9492,0.9493832740861944,0.9491999999999999,0.9491910484022039
iris,3,uniform,1,5,0.9479333333333334,0.9480924092712978,0.9479333333333333,0.9479253630997186
iris,3,uniform,1,6,0.9468,0.946947047841257,0.9468000000000001,0.946792022506299
iris,3,uniform,1,7,0.9482000000000003,0.948312103925197,0.9481999999999999,0.9481942965941699
iris,3,uniform,1,8,0.9484666666666669,0.9485486020651456,0.9484666666666666,0.9484627920492487
iris,3,uniform,1,9,0.9477333333333336,0.9478024266750004,0.9477333333333333,0.947729918922048
iris,3,uniform,2,2,0.9460000000000001,0.9469331388844683,0.9459999999999998,0.9460764953009964
iris,3,uniform,2,3,0.9448666666666666,0.9456920791660851,0.9448666666666667,0.9449691259045255
iris,3,uniform,2,4,0.9447333333333333,0.9455049376924232,0.9447333333333334,0.944884224102653
iris,3,uniform,2,5,0.9450666666666666,0.9458077466660849,0.9450666666666666,0.9452188086530467
iris,3,uniform,2,6,0.9449999999999998,0.9458549422632374,0.945,0.9451871519751626
iris,3,uniform,2,7,0.9448666666666666,0.945696374297227,0.9448666666666667,0.9450690256833552
iris,3,uniform,2,8,0.9456666666666668,0.9464511193309025,0.9456666666666667,0.9458505898081497
iris,3,uniform,2,9,0.9450000000000003,0.945900691908486,0.945,0.9452092240649915
iris,3,distance,1,2,0.9480666666666666,0.9484661188508176,0.9480666666666667,0.9480461970410567
iris,3,distance,1,3,0.9492000000000002,0.9494119288224616,0.9491999999999999,0.9491901804789067
iris,3,distance,1,4,0.9492000000000002,0.9493290483350517,0.9491999999999999,0.9491941968565691
iris,3,distance,1,5,0.9487333333333335,0.9488440053546663,0.9487333333333333,0.9487279648170257
iris,3,distance,1,6,0.9497999999999999,0.9498896527841906,0.9497999999999998,0.9497960591257204
iris,3,distance,1,7,0.95,0.9500751028616575,0.95,0.9499967593237915
iris,3,distance,1,8,0.9487333333333337,0.9487798852874483,0.9487333333333333,0.9487312997966463
iris,3,distance,1,9,0.9482666666666668,0.9483207519538299,0.9482666666666667,0.9482641725875106
iris,3,distance,2,2,0.9494,0.9502459911544008,0.9494,0.9494727995571821
iris,3,distance,2,3,0.9473999999999998,0.948012951688568,0.9474000000000001,0.9475009222622522
iris,3,distance,2,4,0.9478000000000002,0.9483587947125198,0.9478000000000001,0.9479238651318135
iris,3,distance,2,5,0.9464000000000001,0.9470667752697659,0.9463999999999999,0.946574191564974
iris,3,distance,2,6,0.9476666666666667,0.9483326777570549,0.9476666666666667,0.9478424281806929
iris,3,distance,2,7,0.9474000000000001,0.9480418775008794,0.9473999999999999,0.9475731224605579
iris,3,distance,2,8,0.9470000000000001,0.9477155447190788,0.9470000000000001,0.94719819422591
iris,3,distance,2,9,0.9473999999999999,0.948053194776683,0.9474000000000001,0.9475820941916048
iris,3,sqrt-order,1,2,0.9466000000000001,0.9471086837119935,0.9466000000000001,0.9465720833483074
iris,3,sqrt-order,1,3,0.9477333333333334,0.9479890339738457,0.9477333333333333,0.9477204177187311
iris,3,sqrt-order,1,4,0.9475333333333334,0.9477077120355525,0.9475333333333333,0.9475244947435559
iris,3,sqrt-order,1,5,0.9475333333333336,0.9477065013860492,0.9475333333333333,0.9475248550038884
iris,3,sqrt-order,1,6,0.9473333333333334,0.947468584287208,0.9473333333333332,0.9473264237501214
iris,3,sqrt-order,1,7,0.9480666666666667,0.9481468648998063,0.9480666666666665,0.9480630326177876
iris,3,sqrt-order,1,8,0.9486666666666668,0.948734614102051,0.9486666666666668,0.9486636393771429
iris,3,sqrt-order,1,9,0.9481333333333335,0.9482133628412506,0.9481333333333332,0.948129318765946
iris,3,sqrt-order,2,2,0.9459333333333332,0.9469557345206363,0.9459333333333333,0.9459909191436194
iris,3,sqrt-order,2,3,0.9450000000000002,0.9458533685799722,0.945,0.9451140769474926
iris,3,sqrt-order,2,4,0.946,0.9466687743794515,0.9459999999999998,0.9461316349695374
iris,3,sqrt-order,2,5,0.9428666666666667,0.9437628464777368,0.9428666666666667,0.9430510418729486
iris,3,sqrt-order,2,6,0.9446666666666669,0.945480442330948,0.9446666666666668,0.9448433582840565
iris,3,sqrt-order,2,7,0.9435333333333333,0.9445185004358679,0.9435333333333333,0.9437427618862125
iris,3,sqrt-order,2,8,0.9451333333333335,0.9459900839750226,0.9451333333333332,0.9453291606009157
